k=( 0.00000, 0.00000, 0.00000),
number of irreducible representations:  6
level=  1    1   1   0   0   0   0
level=  2    0   0   0   0   0   1
level=  3    0   0   1   1   0   0
level=  4    0   0   0   0   1   0
level=  5    0   0   0   0   0   1
level=  6    1   1   0   0   0   0
level=  7    0   0   0   0   1   0
level=  8    0   0   0   0   0   1
level=  9    0   0   1   1   0   0
level= 10    0   0   0   0   1   0
level= 11    0   0   0   0   0   1
level= 12    0   0   0   0   1   0
level= 13    0   0   0   0   0   1
level= 14    0   0   0   0   0   1
level= 15    1   1   0   0   0   0
level= 16    0   0   0   0   1   0
level= 17    0   0   0   0   1   0
level= 18    0   0   1   1   0   0
level= 19    0   0   0   0   1   0
 
k=( 0.50000, 0.00000, 0.00000),
number of irreducible representations:  4
level=  1    0   0   1   1
level=  2    1   1   0   0
level=  3    0   0   1   1
level=  4    1   1   0   0
level=  5    0   0   1   1
level=  6    1   1   0   0
level=  7    1   1   0   0
level=  8    0   0   1   1
level=  9    0   0   1   1
level= 10    1   1   0   0
level= 11    0   0   1   1
level= 12    1   1   0   0
level= 13    0   0   1   1
level= 14    1   1   0   0
level= 15    1   1   0   0
level= 16    0   0   1   1
level= 17    0   0   1   1
level= 18    1   1   0   0
level= 19    0   0   1   1
 
k=( 0.00000, 0.50000, 0.00000),
number of irreducible representations:  4
level=  1    0   0   1   1
level=  2    1   1   0   0
level=  3    0   0   1   1
level=  4    1   1   0   0
level=  5    0   0   1   1
level=  6    1   1   0   0
level=  7    1   1   0   0
level=  8    0   0   1   1
level=  9    0   0   1   1
level= 10    1   1   0   0
level= 11    0   0   1   1
level= 12    1   1   0   0
level= 13    0   0   1   1
level= 14    1   1   0   0
level= 15    1   1   0   0
level= 16    0   0   1   1
level= 17    0   0   1   1
level= 18    1   1   0   0
level= 19    0   0   1   1
 
k=( 0.00000, 0.00000, 0.50000),
number of irreducible representations:  4
level=  1    0   0   1   1
level=  2    1   1   0   0
level=  3    0   0   1   1
level=  4    1   1   0   0
level=  5    0   0   1   1
level=  6    1   1   0   0
level=  7    1   1   0   0
level=  8    0   0   1   1
level=  9    0   0   1   1
level= 10    1   1   0   0
level= 11    0   0   1   1
level= 12    1   1   0   0
level= 13    0   0   1   1
level= 14    1   1   0   0
level= 15    1   1   0   0
level= 16    0   0   1   1
level= 17    0   0   1   1
level= 18    1   1   0   0
level= 19    0   0   1   1
 
k=( 0.00000, 0.50000, 0.50000),
number of irreducible representations:  4
level=  1    1   1   0   0
level=  2    0   0   1   1
level=  3    1   1   0   0
level=  4    0   0   1   1
level=  5    1   1   0   0
level=  6    0   0   1   1
level=  7    0   0   1   1
level=  8    1   1   0   0
level=  9    1   1   0   0
level= 10    0   0   1   1
level= 11    1   1   0   0
level= 12    0   0   1   1
level= 13    0   0   1   1
level= 14    1   1   0   0
level= 15    1   1   0   0
level= 16    0   0   1   1
level= 17    0   0   1   1
level= 18    0   0   1   1
level= 19    1   1   0   0
 
k=( 0.50000, 0.00000, 0.50000),
number of irreducible representations:  4
level=  1    1   1   0   0
level=  2    0   0   1   1
level=  3    1   1   0   0
level=  4    0   0   1   1
level=  5    1   1   0   0
level=  6    0   0   1   1
level=  7    0   0   1   1
level=  8    1   1   0   0
level=  9    1   1   0   0
level= 10    0   0   1   1
level= 11    1   1   0   0
level= 12    0   0   1   1
level= 13    0   0   1   1
level= 14    1   1   0   0
level= 15    1   1   0   0
level= 16    0   0   1   1
level= 17    0   0   1   1
level= 18    0   0   1   1
level= 19    1   1   0   0
 
k=( 0.50000, 0.50000, 0.00000),
number of irreducible representations:  4
level=  1    1   1   0   0
level=  2    0   0   1   1
level=  3    1   1   0   0
level=  4    0   0   1   1
level=  5    1   1   0   0
level=  6    0   0   1   1
level=  7    0   0   1   1
level=  8    1   1   0   0
level=  9    1   1   0   0
level= 10    0   0   1   1
level= 11    1   1   0   0
level= 12    0   0   1   1
level= 13    0   0   1   1
level= 14    1   1   0   0
level= 15    1   1   0   0
level= 16    0   0   1   1
level= 17    0   0   1   1
level= 18    0   0   1   1
level= 19    1   1   0   0
 
k=( 0.50000, 0.50000, 0.50000),
number of irreducible representations:  6
level=  1    1   1   0   0   0   0
level=  2    0   0   0   0   1   0
level=  3    0   0   0   0   0   1
level=  4    0   0   1   1   0   0
level=  5    0   0   0   0   1   0
level=  6    0   0   0   0   0   1
level=  7    1   1   0   0   0   0
level=  8    0   0   1   1   0   0
level=  9    0   0   0   0   0   1
level= 10    0   0   0   0   1   0
level= 11    0   0   0   0   1   0
level= 12    0   0   0   0   0   1
level= 13    0   0   0   0   1   0
level= 14    0   0   0   0   0   1
level= 15    1   1   0   0   0   0
level= 16    0   0   0   0   0   1
level= 17    0   0   0   0   1   0
level= 18    0   0   1   1   0   0
level= 19    0   0   0   0   1   0
 
